entry_time,exit_time,side,contracts,entry_price,exit_price,pnl_points,gross_pnl,net_pnl,commission_exit,slippage_points_assumed
2019-05-05 23:57:00+00:00,2019-05-06 00:05:00+00:00,LONG,1,7709.5,7706.0,-3.5,-7.0,-7.5,0.5,0.25
2019-05-06 01:09:00+00:00,2019-05-06 01:11:00+00:00,LONG,1,7678.5,7673.25,-5.25,-10.5,-11.0,0.5,0.25
2019-05-06 03:55:00+00:00,2019-05-06 03:59:00+00:00,LONG,1,7675.5,7680.75,5.25,10.5,10.0,0.5,0.25
2019-05-06 04:45:00+00:00,2019-05-06 04:47:00+00:00,SHORT,1,7694.0,7695.5,-1.5,-3.0,-3.5,0.5,0.25
2019-05-06 04:54:00+00:00,2019-05-06 04:55:00+00:00,SHORT,1,7693.75,7705.0,-11.25,-22.5,-23.0,0.5,0.25
2019-05-06 04:56:00+00:00,2019-05-06 05:06:00+00:00,SHORT,1,7705.0,7710.75,-5.75,-11.5,-12.0,0.5,0.25
2019-05-06 06:26:00+00:00,2019-05-06 06:28:00+00:00,LONG,1,7704.0,7695.75,-8.25,-16.5,-17.0,0.5,0.25
2019-05-06 06:29:00+00:00,2019-05-06 06:39:00+00:00,LONG,1,7693.75,7695.75,2.0,4.0,3.5,0.5,0.25
2019-05-06 07:21:00+00:00,2019-05-06 07:25:00+00:00,SHORT,1,7717.75,7719.75,-2.0,-4.0,-4.5,0.5,0.25
2019-05-06 07:28:00+00:00,2019-05-06 07:29:00+00:00,SHORT,1,7721.0,7717.25,3.75,7.5,7.0,0.5,0.25
2019-05-06 08:49:00+00:00,2019-05-06 08:50:00+00:00,LONG,1,7684.0,7683.25,-0.75,-1.5,-2.0,0.5,0.25
2019-05-06 08:56:00+00:00,2019-05-06 08:57:00+00:00,LONG,1,7677.5,7679.5,2.0,4.0,3.5,0.5,0.25
2019-05-06 12:21:00+00:00,2019-05-06 12:23:00+00:00,SHORT,1,7720.25,7718.0,2.25,4.5,4.0,0.5,0.25
2019-05-06 13:07:00+00:00,2019-05-06 13:10:00+00:00,LONG,1,7701.75,7702.0,0.25,0.5,0.0,0.5,0.25
2019-05-06 13:14:00+00:00,2019-05-06 13:17:00+00:00,LONG,1,7698.25,7700.25,2.0,4.0,3.5,0.5,0.25
2019-05-06 13:25:00+00:00,2019-05-06 13:31:00+00:00,LONG,1,7693.5,7706.5,13.0,26.0,25.5,0.5,0.25
2019-05-06 13:34:00+00:00,2019-05-06 13:47:00+00:00,SHORT,1,7724.75,7735.0,-10.25,-20.5,-21.0,0.5,0.25
2019-05-06 14:22:00+00:00,2019-05-06 14:24:00+00:00,SHORT,1,7767.25,7759.5,7.75,15.5,15.0,0.5,0.25
2019-05-06 16:12:00+00:00,2019-05-06 16:13:00+00:00,LONG,1,7756.0,7755.5,-0.5,-1.0,-1.5,0.5,0.25
2019-05-06 17:02:00+00:00,2019-05-06 17:03:00+00:00,LONG,1,7745.0,7747.25,2.25,4.5,4.0,0.5,0.25
2019-05-06 17:28:00+00:00,2019-05-06 17:33:00+00:00,SHORT,1,7766.25,7767.0,-0.75,-1.5,-2.0,0.5,0.25
2019-05-06 18:19:00+00:00,2019-05-06 18:22:00+00:00,SHORT,1,7778.0,7778.5,-0.5,-1.0,-1.5,0.5,0.25
2019-05-06 18:32:00+00:00,2019-05-06 19:01:00+00:00,SHORT,1,7784.75,7812.25,-27.5,-55.0,-55.5,0.5,0.25
2019-05-06 22:00:00+00:00,2019-05-06 22:05:00+00:00,LONG,1,7749.75,7757.75,8.0,16.0,15.5,0.5,0.25
2019-05-06 22:06:00+00:00,2019-05-06 22:07:00+00:00,LONG,1,7759.5,7755.5,-4.0,-8.0,-8.5,0.5,0.25
2019-05-06 22:08:00+00:00,2019-05-06 22:09:00+00:00,LONG,1,7759.75,7757.25,-2.5,-5.0,-5.5,0.5,0.25
2019-05-06 22:16:00+00:00,2019-05-06 22:18:00+00:00,LONG,1,7752.75,7753.25,0.5,1.0,0.5,0.5,0.25
2019-05-06 22:26:00+00:00,2019-05-06 22:29:00+00:00,LONG,1,7750.75,7750.75,0.0,0.0,-0.5,0.5,0.25
2019-05-06 23:46:00+00:00,2019-05-06 23:47:00+00:00,SHORT,1,7761.75,7761.25,0.5,1.0,0.5,0.5,0.25
2019-05-07 00:06:00+00:00,2019-05-07 00:07:00+00:00,LONG,1,7752.0,7752.25,0.25,0.5,0.0,0.5,0.25
2019-05-07 00:12:00+00:00,2019-05-07 00:14:00+00:00,LONG,1,7746.0,7743.25,-2.75,-5.5,-6.0,0.5,0.25
2019-05-07 00:15:00+00:00,2019-05-07 00:19:00+00:00,LONG,1,7741.5,7736.25,-5.25,-10.5,-11.0,0.5,0.25
